accident_index,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),propulsion_code,age_of_vehicle,driver_imd_decile,driver_home_area_type,vehicle_imd_decile,NUmber_of_Casualities_unique_to_accident_index,No_of_Vehicles_involved_unique_to_accident_index,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_(district),local_authority_(highway),1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
201501CW10495,2,8,0,17,0,8,0,0,0,0,1,1,1,1,-1,-1,2499,2,2,-1,1,-1,1,2,528340,179980,-0.152265,51.50419,1,3,2,1,13/04/2015,2,1899-12-30 19:40:00,1,E09000033,3,4202,1,30,1,4,3,4202,0,0,1,1,1,0,0,1,2,E01004689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10496,1,5,0,9,0,8,0,0,0,0,4,1,6,1,28,6,535,1,20,-1,1,-1,1,1,530060,180500,-0.127306,51.50847,1,3,1,1,15/04/2015,4,1899-12-30 16:30:00,1,E09000033,3,4,6,30,3,2,3,4,0,5,1,1,1,0,0,1,1,E01004736,1,1,1,28,6,3,0,0,0,0,0,5,1,4
201501CW10497,1,10,0,9,0,8,0,0,0,0,1,1,1,1,39,7,2999,2,4,-1,1,-1,1,2,530070,180610,-0.127121,51.509457,1,3,2,1,20/04/2015,2,1899-12-30 18:05:00,1,E09000033,4,404,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01004736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10497,2,1,0,18,0,8,0,0,0,0,1,1,2,1,27,6,-1,-1,-1,-1,1,-1,1,2,530070,180610,-0.127121,51.509457,1,3,2,1,20/04/2015,2,1899-12-30 18:05:00,1,E09000033,4,404,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01004736,1,1,1,27,6,3,0,0,0,0,0,1,1,3
201501CW10498,1,3,0,18,0,8,0,0,0,0,1,1,6,1,38,7,-1,-1,-1,-1,1,-1,1,1,528830,182200,-0.144398,51.524029,1,3,1,1,20/04/2015,2,1899-12-30 18:11:00,1,E09000033,3,501,3,30,6,2,3,4201,0,5,1,1,1,0,0,1,1,E01000946,1,3,1,35,6,3,1,1,0,0,2,0,1,3
201501CW10500,1,9,0,17,0,8,0,0,0,0,1,1,2,1,26,6,2497,1,12,-1,1,-1,2,2,528510,179800,-0.149883,51.502534,1,3,2,2,42281,6,1899-12-30 18:00:00,1,E09000033,3,4,1,30,1,4,5,0,0,0,1,1,1,0,0,1,1,E01004736,1,1,1,26,6,3,0,0,0,0,0,9,1,4
201501CW10500,1,9,0,17,0,8,0,0,0,0,1,1,2,1,26,6,2497,1,12,-1,1,-1,2,2,528510,179800,-0.149883,51.502534,1,3,2,2,42281,6,1899-12-30 18:00:00,1,E09000033,3,4,1,30,1,4,5,0,0,0,1,1,1,0,0,1,1,E01004736,2,2,2,23,5,3,0,0,1,0,0,9,1,4
201501CW10500,2,11,0,18,0,8,0,0,0,0,3,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,528510,179800,-0.149883,51.502534,1,3,2,2,42281,6,1899-12-30 18:00:00,1,E09000033,3,4,1,30,1,4,5,0,0,0,1,1,1,0,0,1,1,E01004736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10502,1,1,0,13,0,8,0,0,0,0,3,1,6,1,32,6,-1,-1,-1,-1,1,-1,1,3,530390,180270,-0.122638,51.506327,1,2,3,1,42220,4,1899-12-30 09:00:00,1,E09000033,3,3211,3,30,3,2,4,308,0,5,1,1,1,0,0,2,2,E01004736,1,1,1,32,6,2,0,0,0,0,0,1,1,10
201501CW10502,2,8,0,3,0,1,0,0,0,0,4,1,1,1,-1,-1,1560,2,4,-1,1,-1,1,3,530390,180270,-0.122638,51.506327,1,2,3,1,42220,4,1899-12-30 09:00:00,1,E09000033,3,3211,3,30,3,2,4,308,0,5,1,1,1,0,0,2,2,E01004736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
